year,country,count
1900,united kingdom,410
1901,united kingdom,487
1902,united kingdom,351
1903,united kingdom,238
1904,russia,648
1905,russia,468
1906,united kingdom,238
1907,united kingdom,206
1908,united kingdom,219
1909,united kingdom,277
1910,france,167
1911,united kingdom,202
1912,united kingdom,198
1913,united kingdom,239
1914,germany,1242
1915,germany,1682
1916,germany,1388
1917,germany,1496
1918,germany,1707
1919,germany,733
1920,united kingdom,364
1921,united kingdom,508
1922,united kingdom,421
1923,france,473
1924,united kingdom,293
1925,france,376
1926,united kingdom,300
1927,united kingdom,381
1928,united kingdom,284
1929,united kingdom,456
1930,united kingdom,450
1931,united kingdom,495
1932,united kingdom,397
1933,united kingdom,411
1934,united kingdom,289
1935,united kingdom,350
1936,united kingdom,385
1937,united kingdom,350
1938,united kingdom,408
1939,united kingdom,559
1940,united kingdom,821
1941,united kingdom,773
1942,japan,498
1943,germany,425
1944,germany,535
1945,japan,542
1946,russia,604
1947,russia,452
1948,russia,577
1949,russia,449
1950,russia,360
1951,russia,294
1952,russia,287
1953,russia,373
1954,france,376
1955,russia,544
1956,russia,651
1957,russia,552
1958,russia,504
1959,russia,565
1960,russia,508
1961,russia,529
1962,russia,540
1963,russia,485
1965,vietnam,456
1966,vietnam,499
1967,vietnam,434
1968,vietnam,357
1969,vietnam,233
1970,russia,211
1971,russia,193
1972,vietnam,285
1973,israel,170
1974,russia,149
1975,russia,132
1976,lebanon,141
1977,russia,162
1978,russia,67
1979,iran,60
1980,iran,180
1981,poland,134
1982,israel,135
1983,russia,158
1984,russia,121
1985,russia,138
1986,russia,173
1987,russia,179
1988,russia,216
1989,russia,200
1990,russia,240
1991,russia,226
1992,japan,107
1993,russia,94
1994,japan,81
1995,japan,106
1996,russia,86
1997,china,70
1998,china,87
1999,kosovo,111
2000,china,100
2001,united kingdom,240
2002,japan,272
2003,iraq,431
2004,iraq,309
2005,iraq,218
2006,iraq,233
2007,iraq,244
2008,china,118
2009,china,93
2010,china,144
2011,china,89
2012,china,110
2013,china,105
2014,china,79
2015,china,134
2016,china,109
2017,china,131
2018,china,141
